epoch,loss,Recall,Precision,F1
177,1.754,0.402,0.903,0.557
178,1.756,0.401,0.902,0.555
179,1.753,0.403,0.904,0.557
180,1.765,0.404,0.904,0.558
181,1.741,0.404,0.903,0.558
182,1.795,0.404,0.904,0.558
183,1.756,0.404,0.900,0.558
184,1.760,0.406,0.903,0.560
185,1.745,0.408,0.905,0.562
186,1.725,0.407,0.899,0.560
187,1.680,0.408,0.899,0.561
188,1.727,0.405,0.900,0.558
189,1.719,0.407,0.904,0.562
190,1.686,0.409,0.901,0.563
191,1.712,0.409,0.900,0.563
192,1.780,0.411,0.900,0.564
193,1.785,0.411,0.896,0.563
194,1.782,0.408,0.895,0.560
195,1.751,0.413,0.896,0.565
196,1.719,0.416,0.897,0.568
197,1.729,0.420,0.897,0.572
198,1.730,0.421,0.896,0.572
199,1.674,0.419,0.897,0.571
200,1.728,0.422,0.896,0.574
201,1.693,0.421,0.896,0.573
202,1.705,0.428,0.900,0.580
203,1.677,0.427,0.900,0.579
204,1.697,0.430,0.897,0.582
205,1.663,0.427,0.896,0.578
206,1.673,0.429,0.897,0.580
207,1.679,0.429,0.897,0.581
208,2.280,0.424,0.893,0.575
209,1.885,0.423,0.896,0.574
210,1.809,0.417,0.892,0.568
211,1.758,0.414,0.893,0.566
212,1.703,0.418,0.895,0.570
213,1.788,0.416,0.894,0.567
214,1.704,0.414,0.894,0.566
215,1.656,0.416,0.896,0.568
216,1.641,0.420,0.896,0.572
217,1.664,0.420,0.893,0.571
218,1.664,0.421,0.894,0.572
219,1.662,0.420,0.894,0.572
220,1.653,0.421,0.894,0.572
221,1.686,0.422,0.895,0.574
222,1.653,0.425,0.895,0.577
223,1.635,0.423,0.895,0.575
224,1.609,0.426,0.898,0.578
225,1.641,0.423,0.897,0.575
226,1.656,0.424,0.897,0.575
227,1.624,0.425,0.896,0.577
228,1.650,0.427,0.895,0.578
229,1.655,0.425,0.894,0.576
230,1.607,0.426,0.897,0.578
231,1.649,0.427,0.897,0.578
232,1.605,0.427,0.897,0.578
233,1.576,0.425,0.897,0.577
234,1.629,0.427,0.897,0.578
235,1.591,0.427,0.897,0.579
236,1.563,0.428,0.898,0.579
237,1.539,0.427,0.898,0.579
238,1.551,0.427,0.895,0.578
